,team,teamkpm,dpm,wpm,vspm,gpm,cspm,dtpm,wcpm,dmpm
74,eStar Young,0.3665065573770492,1843.5478147540982,3.3262688524590165,,1045.212331147541,31.87181639344262,3021.8602819672133,1.3693491803278686,2592.421786885245
75,Sheng Jie Gaming,0.43526060606060607,1855.4118545454544,2.8663303030303027,,1111.7892969696968,32.35554545454546,2979.502096969697,1.295448484848485,
76,FunPlus Phoenix Blaze,0.6061173913043478,2178.417243478261,2.810959782608696,,1230.5558869565218,32.22272934782609,3075.5471445652174,1.4260804347826086,
77,Royal Club,0.5651337078651686,2095.932905617977,3.386880898876404,,1218.3722033707863,32.54657528089888,2791.44647752809,1.5443022471910113,
78,LGD Gaming Young Team,0.40713950617283945,1866.8737827160494,2.8511950617283954,,1011.6719123456788,29.771856790123454,2982.20707654321,1.2594654320987655,
79,All Combo,0.3615538461538461,1781.3555051282056,2.8776641025641028,,1035.0815256410253,31.54341794871794,2982.452338461538,1.3095064102564105,
80,Afreeca Freecs,0.34727164179104475,1848.8015014925372,3.7901000000000002,8.47994328358209,1101.9362552238806,33.276662686567164,2829.328991044776,1.920120895522388,2528.226446268657
81,Team WE Academy,0.5368674157303371,2157.642675280899,2.9962505617977526,,1164.187297752809,31.880987640449433,3067.4747438202244,1.338520224719101,
82,DRX,0.29710000000000003,1858.3424440000001,3.6473453333333334,7.768305333333334,1079.8182493333334,34.25950133333334,2780.4871999999996,1.7247306666666669,2524.230924
83,Outplayed,0.46968125,2085.148621875,3.3080687500000003,7.317721875,1098.233475,30.81949375,2778.95681875,1.2840218749999999,2523.051734375
84,GG&amp;Esports,0.492292,2018.750664,3.142156,7.4235120000000006,1180.314748,32.425316,2740.0466400000005,1.31886,2211.43666
85,Mkers,0.4346654545454545,1917.596072727273,3.059379999999999,7.095667272727274,1103.2,31.376745454545453,2837.224025454546,1.3200090909090911,2352.7015927272723
86,Macko Esports,0.47138599999999997,1894.724986,3.1106579999999995,7.362843999999999,1151.68559,32.049384,2732.2648,1.298074,2443.2970539999997
87,Oh My Dream,0.4478880952380953,1995.094620238095,3.0221940476190476,,1090.105394047619,31.183973809523806,2965.083267857143,1.4874345238095237,
88,Bilibili Gaming Junior,0.5338432098765431,2108.345337037037,3.2748123456790124,,1209.1641827160493,32.88568765432098,2948.380212345679,1.3685271604938272,
89,Fredit BRION,0.2743184615384616,1647.9119307692306,4.037681538461538,8.387559999999999,1039.98642,33.838466153846156,2595.919652307692,1.9188615384615384,2372.824506153846
90,eStar,0.34076111111111107,1738.0180555555553,3.4012472222222225,,1033.5135249999998,,2824.3288888888887,1.5427388888888887,2533.105644444445
91,Rogue Warriors Shark,0.46087529411764705,2012.8885070588237,3.019795294117647,,1123.0291247058822,,2964.0228411764706,1.320924705882353,
92,Kaisa Gaming,0.4409522222222222,2067.350548888889,2.805388888888889,,1071.5644177777779,30.735907777777776,3176.8562222222226,1.296433333333333,
93,Rare Atom,0.3927942028985507,2002.8024710144925,3.3598449275362317,,1148.0700057971014,,2888.7389739130435,1.7249347826086954,
94,Bulldog Esports,0.4402051282051282,1936.6448256410258,2.744279487179487,6.562789743589744,1068.3940307692308,30.680989743589734,2888.0954076923076,1.108425641025641,2680.3881666666666
95,nerdRage,0.26833333333333337,1448.4831666666666,2.5818999999999996,6.528866666666667,941.4935333333333,29.914133333333336,3058.429833333333,1.1645666666666667,2577.0462666666667
96,TSM,0.356471186440678,1820.0889644067797,3.4099169491525423,7.8088559322033895,1117.0043881355932,32.50568983050847,2705.33756440678,1.4288440677966106,2497.0742016949152
97,Counter Logic Gaming,0.321275,1757.9619774999999,3.4926049999999997,7.428475000000001,1052.3566150000001,32.362790000000004,2882.291,1.3565774999999998,2552.2891250000002
98,Cloud9,0.45174320987654315,1868.7977185185184,3.293074074074074,7.596724691358025,1173.3422296296296,33.876991358024696,2763.930408641976,1.4967432098765434,2669.4177185185185
99,FlyQuest,0.3293904761904762,1783.823019047619,3.272278571428571,7.245588095238095,1033.0338047619048,31.975245238095237,2907.591719047619,1.407952380952381,2612.218004761905
100,Golden Guardians,0.2909690476190476,1856.6139357142858,3.2720380952380954,7.19215,1021.0072214285714,32.21608809523809,2809.2731166666667,1.5032023809523811,2638.9760499999998
101,Joy Dream,0.4949689655172413,2060.513547126437,2.880034482758621,,1141.391888505747,31.173788505747133,2951.8331954022988,1.2432252873563219,
102,Top Esports Challenger,0.49773170731707306,2017.795669512195,3.0276097560975614,,1144.2027329268294,32.142852439024395,2873.809868292683,1.423339024390244,
103,Young Miracles,0.5815648936170214,2094.7777691489364,3.0601914893617024,,1240.2412744680848,33.13139893617021,2968.1438989361714,1.3182893617021276,
104,LGD Gaming,0.38221428571428573,1909.7114714285713,3.091514285714286,,1075.621246031746,,2855.6510761904756,1.5716063492063492,
105,FunPlus Phoenix,0.53138625,2132.178805,3.2553812500000006,,1254.37047125,,3004.95352,1.4762775,
106,LOUD,0.45214,1956.138008571429,3.5109485714285715,7.730514285714287,1140.7448685714282,31.681205714285717,2853.2714057142853,1.4471142857142856,2683.2419285714286
107,FURIA Esports,0.3744999999999999,1884.77296,3.250613333333334,6.889036666666667,1053.79326,31.251873333333336,2953.684513333333,1.2764566666666668,2530.669426666667
108,RED Canids,0.5074842105263159,1963.7250894736835,3.3780973684210522,7.1631289473684205,1156.4272210526315,32.32435789473684,2924.482271052632,1.2468578947368423,2726.38602368421
109,Cruzeiro eSports,0.3375611111111112,1582.6708277777777,2.9904722222222224,6.413872222222222,1011.1558944444444,31.42193333333333,2836.947722222222,1.1329777777777779,2581.703877777778
110,Vorax,0.49511538461538457,1895.7915961538458,3.313426923076923,7.573565384615383,1156.961646153846,31.90286923076923,2711.388711538462,1.451446153846154,2508.5271423076924
